ID,Site,Mine,Storage,Cu,Maximum_Concentration,lag_time,mu_max,Dilution,Media_Name
1,B,TECK,CR,0,0.605,6,0.032666667,1:10,LB
2,B,TECK,CR,150,0.461,45,0.017619048,1:10,LB
3,B,TECK,CR,300,0.022,45,0.003,1:10,LB
4,B,TECK,CR,600,0.017,0,0.0005,1:10,LB
5,B,TECK,CR,750,0.011,18,0.000333333,1:10,LB
6,B,TECK,CR,1200,0.016,0,0.001333333,1:10,LB
7,B,TECK,CR,0,0.6,6,0.032666667,1:10,LB
8,B,TECK,CR,150,0.464,45,0.015857143,1:10,LB
9,B,TECK,CR,300,0.037,0,0.00075,1:10,LB
10,B,TECK,CR,600,0.02,0,0.000333333,1:10,LB
11,B,TECK,CR,750,0.008,45,0.000333333,1:10,LB
12,B,TECK,CR,1200,0.015,0,0.000333333,1:10,LB
13,B,TECK,CR,0,0.594,6,0.0315,1:10,LB
14,B,TECK,CR,150,0.456,45,0.019666667,1:10,LB
15,B,TECK,CR,300,0.033,0,0.000666667,1:10,LB
16,B,TECK,CR,600,0.02,0,0.000333333,1:10,LB
17,B,TECK,CR,750,0.022,0,0.000333333,1:10,LB
18,B,TECK,CR,1200,0.01,24,0.0005,1:10,LB
19,B,TECK,CR,0,0.498,6,0.026333333,1:10,LB
20,B,TECK,CR,150,0.488,45,0.027333333,1:10,LB
21,B,TECK,CR,300,0.007,72,0.000416667,1:10,LB
22,B,TECK,CR,600,0.013,0,0.0005,1:10,LB
23,B,TECK,CR,750,0.048,0,0,1:10,LB
24,B,TECK,CR,1200,0.01,0,0.000833333,1:10,LB
25,B,TECK,CR,0,0.51,6,0.0275,1:10,LB
26,B,TECK,CR,150,0.485,0,0.020333333,1:10,LB
27,B,TECK,CR,300,0.133,0,0,1:10,LB
28,B,TECK,CR,600,0.008,0,0.000333333,1:10,LB
29,B,TECK,CR,750,0,#N/A,0,1:10,LB
30,B,TECK,CR,1200,0.004,45,0.000166667,1:10,LB
31,B,TECK,CR,0,0.5,6,0.029666667,1:10,LB
32,B,TECK,CR,150,0.044,0,0,1:10,LB
33,B,TECK,CR,300,0.025,0,0.000166667,1:10,LB
34,B,TECK,CR,600,0.011,0,0.000166667,1:10,LB
35,B,TECK,CR,750,0.013,0,0.000333333,1:10,LB
36,B,TECK,CR,1200,0.004,60,0.000166667,1:10,LB
37,B,TECK,CR,0,0.463,6,0.029833333,1:10,LB
38,B,TECK,CR,150,0.315,45,0.013380952,1:10,LB
39,B,TECK,CR,300,0.023,12,0.001,1:10,LB
40,B,TECK,CR,600,0.006,6,0.000333333,1:10,LB
41,B,TECK,CR,750,0.002,48,0.000666667,1:10,LB
42,B,TECK,CR,1200,0.011,0,0.00075,1:10,LB
43,B,TECK,CR,0,0.451,6,0.027166667,1:10,LB
44,B,TECK,CR,150,0.331,0,0.017333333,1:10,LB
45,B,TECK,CR,300,0.018,0,0.0005,1:10,LB
46,B,TECK,CR,600,0.008,0,0.000166667,1:10,LB
47,B,TECK,CR,750,0.001,96,8.33E-05,1:10,LB
48,B,TECK,CR,1200,0.002,72,8.33E-05,1:10,LB
49,B,TECK,CR,0,0.451,6,0.033833333,1:10,LB
50,B,TECK,CR,150,0.341,45,0.02,1:10,LB
51,B,TECK,CR,300,0.021,0,0,1:10,LB
52,B,TECK,CR,600,0.014,0,0.000333333,1:10,LB
53,B,TECK,CR,750,0.012,0,0.0005,1:10,LB
54,B,TECK,CR,1200,0.006,45,0.000333333,1:10,LB
55,B,TECK,CR,0,0.222,6,0.012666667,1:10,LB
56,B,TECK,CR,150,0.264,24,0.009761905,1:10,LB
57,B,TECK,CR,300,0.008,60,0.0005,1:10,LB
58,B,TECK,CR,600,0.024,0,0.0005,1:10,LB
59,B,TECK,CR,750,0,#N/A,0,1:10,LB
60,B,TECK,CR,1200,0.006,0,0.000333333,1:10,LB
61,B,TECK,CR,0,0.23,6,0.013333333,1:10,LB
62,B,TECK,CR,150,0.266,45,0.008666667,1:10,LB
63,B,TECK,CR,300,0.037,0,0.000416667,1:10,LB
64,B,TECK,CR,600,0.02,0,0.000166667,1:10,LB
65,B,TECK,CR,750,0.001,45,0.000047619,1:10,LB
66,B,TECK,CR,1200,0.002,84,0.000166667,1:10,LB
67,B,TECK,CR,0,0.714,6,0.044916667,1:10,LB
68,B,TECK,CR,150,0.262,45,0.009333333,1:10,LB
69,B,TECK,CR,300,0.014,0,0.00025,1:10,LB
70,B,TECK,CR,600,0.013,0,0.000333333,1:10,LB
71,B,TECK,CR,750,0.035,0,0.001666667,1:10,LB
72,B,TECK,CR,1200,0.003,60,0.000166667,1:10,LB
73,B,TECK,CR,0,0.442,6,0.035166667,1:10,LB
74,B,TECK,CR,150,0.297,24,0.011,1:10,LB
75,B,TECK,CR,300,0.23,84,0.01075,1:10,LB
76,B,TECK,CR,600,0.016,0,0.000666667,1:10,LB
77,B,TECK,CR,750,0.006,45,0.000666667,1:10,LB
78,B,TECK,CR,1200,0.013,0,0.001083333,1:10,LB
79,B,TECK,CR,0,0.42,6,0.0335,1:10,LB
80,B,TECK,CR,150,0.281,45,0.01,1:10,LB
81,B,TECK,CR,300,0.032,0,0.000666667,1:10,LB
82,B,TECK,CR,600,0.015,0,0.000333333,1:10,LB
83,B,TECK,CR,750,0.01,0,0.000333333,1:10,LB
84,B,TECK,CR,1200,0.01,6,0.000333333,1:10,LB
85,B,TECK,CR,0,0.408,6,0.032333333,1:10,LB
86,B,TECK,CR,150,0.295,45,0.011333333,1:10,LB
87,B,TECK,CR,300,0.019,0,0.0005,1:10,LB
88,B,TECK,CR,600,0.015,0,0.000333333,1:10,LB
89,B,TECK,CR,750,0.025,0,0.0005,1:10,LB
90,B,TECK,CR,1200,0.008,45,0.000666667,1:10,LB
91,C,RT,CR,0,0.579,6,0.029333333,1:10,LB
92,C,RT,CR,150,0.461,6,0.020833333,1:10,LB
93,C,RT,CR,300,0.454,72,0.015916667,1:10,LB
